2018-10-08 13:28:13 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-10-08 13:28:13 INFO  HiveMetaStore:589 - 0: Opening raw store with implemenation class:org.apache.hadoop.hive.metastore.ObjectStore
2018-10-08 13:28:13 INFO  ObjectStore:289 - ObjectStore, initialize called
2018-10-08 13:28:14 INFO  Persistence:77 - Property hive.metastore.integral.jdo.pushdown unknown - will be ignored
2018-10-08 13:28:14 INFO  Persistence:77 - Property datanucleus.cache.level2 unknown - will be ignored
2018-10-08 13:28:15 INFO  ObjectStore:370 - Setting MetaStore object pin classes with hive.metastore.cache.pinobjtypes="Table,StorageDescriptor,SerDeInfo,Partition,Database,Type,FieldSchema,Order"
2018-10-08 13:28:15 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 13:28:15 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 13:28:15 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MFieldSchema" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 13:28:15 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MOrder" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 13:28:16 INFO  Query:77 - Reading in results for query "org.datanucleus.store.rdbms.query.SQLQuery@0" since the connection used is closing
2018-10-08 13:28:16 INFO  MetaStoreDirectSql:139 - Using direct SQL, underlying DB is DERBY
2018-10-08 13:28:16 INFO  ObjectStore:272 - Initialized ObjectStore
2018-10-08 13:28:16 INFO  HiveMetaStore:663 - Added admin role in metastore
2018-10-08 13:28:16 INFO  HiveMetaStore:672 - Added public role in metastore
2018-10-08 13:28:16 INFO  HiveMetaStore:712 - No user is added in admin role, since config is empty
2018-10-08 13:28:16 INFO  HiveMetaStore:746 - 0: get_all_databases
2018-10-08 13:28:16 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_all_databases	
2018-10-08 13:28:16 INFO  HiveMetaStore:746 - 0: get_functions: db=default pat=*
2018-10-08 13:28:16 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_functions: db=default pat=*	
2018-10-08 13:28:16 INFO  Datastore:77 - The class "org.apache.hadoop.hive.metastore.model.MResourceUri" is tagged as "embedded-only" so does not have its own datastore table.
2018-10-08 13:28:16 INFO  HiveMetaStore:746 - 0: get_functions: db=tpcds pat=*
2018-10-08 13:28:16 INFO  audit:371 - ugi=edoardo	ip=unknown-ip-addr	cmd=get_functions: db=tpcds pat=*	
2018-10-08 13:28:16 INFO  SessionState:641 - Created local directory: /var/folders/z2/52r6zpqx4g79gdsyz01h48_w0000gn/T/939b843e-dd5b-402b-a369-2ced09d6b3e9_resources
2018-10-08 13:28:16 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/edoardo/939b843e-dd5b-402b-a369-2ced09d6b3e9
2018-10-08 13:28:16 INFO  SessionState:641 - Created local directory: /var/folders/z2/52r6zpqx4g79gdsyz01h48_w0000gn/T/edoardo/939b843e-dd5b-402b-a369-2ced09d6b3e9
2018-10-08 13:28:16 INFO  SessionState:641 - Created HDFS directory: /tmp/hive/edoardo/939b843e-dd5b-402b-a369-2ced09d6b3e9/_tmp_space.db
2018-10-08 13:28:16 INFO  SparkContext:54 - Running Spark version 2.3.2
2018-10-08 13:28:16 INFO  SparkContext:54 - Submitted application: SparkSQL::192.168.0.101
2018-10-08 13:28:16 INFO  SecurityManager:54 - Changing view acls to: edoardo
2018-10-08 13:28:16 INFO  SecurityManager:54 - Changing modify acls to: edoardo
2018-10-08 13:28:16 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-10-08 13:28:16 INFO  SecurityManager:54 - Changing modify acls groups to: 
